,Time,Amount,Code
0,2019-08-08 00:00:25,7.9527,aeeth
0,2019-08-08 00:00:26,4.3554,wtceth
0,2019-08-08 00:00:30,4341.1211,ethbtc
0,2019-08-08 00:00:33,0.0521,mcoeth
0,2019-08-08 00:00:36,4984.1132,ltcusdt
0,2019-08-08 00:00:37,381.7078,btcusdt
0,2019-08-08 00:00:37,2091.4685,omgusdt
0,2019-08-08 00:00:40,106.1187,zrxusdt
0,2019-08-08 00:00:40,1435.9798,ltcbtc
0,2019-08-08 00:00:43,13.9352,gntusdt
0,2019-08-08 00:00:44,968.3631,etcusdt
0,2019-08-08 00:00:45,2518.0361,ethusdt
1,2019-08-08 00:00:51,1.1196,aeeth
1,2019-08-08 00:01:05,3437.995,btcusdt
1,2019-08-08 00:01:05,34.4996,wtceth
1,2019-08-08 00:01:06,205.8513,ltcusdt
1,2019-08-08 00:01:10,1962.195,etcusdt
1,2019-08-08 00:01:10,8778.6999,ethbtc
1,2019-08-08 00:01:14,0.6021,mcoeth
1,2019-08-08 00:01:15,2791.9685,ltcbtc
1,2019-08-08 00:01:15,9931.7102,ethusdt
1,2019-08-08 00:01:16,10.1158,gntusdt
1,2019-08-08 00:01:20,21.7628,zrxusdt
1,2019-08-08 00:01:20,21.5479,omgusdt
2,2019-08-08 00:01:30,10.5131,wtceth
2,2019-08-08 00:01:34,2.6316,aeeth
2,2019-08-08 00:01:39,10021.9284,ethbtc
2,2019-08-08 00:01:40,17185.7184,btcusdt
2,2019-08-08 00:01:42,1620.74,etcusdt
2,2019-08-08 00:01:42,0.6473,gntusdt
2,2019-08-08 00:01:45,0.6979,mcoeth
2,2019-08-08 00:01:47,2221.0035,omgusdt
2,2019-08-08 00:01:48,2955.2787,ltcusdt
2,2019-08-08 00:01:50,3386.9553,ltcbtc
2,2019-08-08 00:01:54,77.2162,zrxusdt
2,2019-08-08 00:02:00,8123.6358,ethusdt
3,2019-08-08 00:02:02,47.1717,wtceth
3,2019-08-08 00:02:04,1.1538,aeeth
3,2019-08-08 00:02:09,8.1456,gntusdt
3,2019-08-08 00:02:10,3288.0529,ethbtc
3,2019-08-08 00:02:10,1276.3297,etcusdt
3,2019-08-08 00:02:13,34411.8339,btcusdt
3,2019-08-08 00:02:19,0.0057,mcoeth
3,2019-08-08 00:02:19,1913.7358,omgusdt
3,2019-08-08 00:02:21,3498.9747,ltcusdt
3,2019-08-08 00:02:25,8079.7751,ethusdt
3,2019-08-08 00:02:30,37.2293,zrxusdt
3,2019-08-08 00:02:33,2701.8439,ltcbtc
4,2019-08-08 00:02:35,2448.3142,ethbtc
4,2019-08-08 00:02:37,1.8722,aeeth
4,2019-08-08 00:02:38,11.1868,wtceth
4,2019-08-08 00:02:45,6.7761,gntusdt
4,2019-08-08 00:02:46,1515.6647,etcusdt
4,2019-08-08 00:02:48,36487.6282,btcusdt
4,2019-08-08 00:02:51,1583.3674,omgusdt
4,2019-08-08 00:02:55,0.4476,mcoeth
4,2019-08-08 00:03:00,8.9224,zrxusdt
4,2019-08-08 00:03:02,8537.3665,ethusdt
4,2019-08-08 00:03:03,2213.0355,ltcusdt
4,2019-08-08 00:03:08,1572.2765,ltcbtc
5,2019-08-08 00:03:10,4624.2513,ethbtc
5,2019-08-08 00:03:12,1094.9005,etcusdt
5,2019-08-08 00:03:12,4.1807,aeeth
5,2019-08-08 00:03:16,2392.6178,omgusdt
5,2019-08-08 00:03:20,35.0755,wtceth
5,2019-08-08 00:03:21,1894.4514,btcusdt
5,2019-08-08 00:03:27,14.0499,gntusdt
5,2019-08-08 00:03:29,2358.1057,ltcusdt
5,2019-08-08 00:03:33,21.8469,zrxusdt
5,2019-08-08 00:03:35,783.3702,ltcbtc
5,2019-08-08 00:03:38,0.5169,mcoeth
5,2019-08-08 00:03:41,3802.6719,ethusdt
6,2019-08-08 00:03:44,6.3739,aeeth
6,2019-08-08 00:03:48,1373.0071,etcusdt
6,2019-08-08 00:03:48,26.889,wtceth
6,2019-08-08 00:03:50,673.1227,ethbtc
6,2019-08-08 00:03:54,1284.2406,omgusdt
6,2019-08-08 00:03:54,41208.8713,btcusdt
6,2019-08-08 00:04:00,13.6872,gntusdt
6,2019-08-08 00:04:00,4376.8674,ltcusdt
6,2019-08-08 00:04:10,89.7242,zrxusdt
7,2019-08-08 00:04:11,6.1703,aeeth
7,2019-08-08 00:04:13,6.4153,wtceth
6,2019-08-08 00:04:15,0.0248,mcoeth
7,2019-08-08 00:04:19,908.1672,etcusdt
6,2019-08-08 00:04:19,3127.8496,ltcbtc
7,2019-08-08 00:04:22,1325.4432,omgusdt
6,2019-08-08 00:04:23,11235.3133,ethusdt
7,2019-08-08 00:04:32,2029.3062,ltcusdt
7,2019-08-08 00:04:33,14.0542,gntusdt
7,2019-08-08 00:04:35,64.6669,zrxusdt
7,2019-08-08 00:04:35,6402.9235,ethbtc
7,2019-08-08 00:04:37,12284.4159,btcusdt
8,2019-08-08 00:04:41,29.1401,wtceth
8,2019-08-08 00:04:41,1.2856,aeeth
7,2019-08-08 00:04:54,3619.2359,ltcbtc
8,2019-08-08 00:04:56,1127.3452,etcusdt
8,2019-08-08 00:04:57,1983.0597,omgusdt
7,2019-08-08 00:04:59,0.5885,mcoeth
8,2019-08-08 00:05:02,1763.0649,ltcusdt
7,2019-08-08 00:05:04,1216.8355,ethusdt
8,2019-08-08 00:05:07,2.5806,gntusdt
